8 5 NP, 291.8400 0.0000 MB, OutputData 99.71% 1.0000 0.0000 51.2480 0.9539 51.2360 0.9550 51.2540 0.9514 
16 5 NP, 583.6800 0.0000 MB, OutputData 95.81% 1.0000 0.0000 28.0300 1.9606 28.0220 1.9585 28.0400 1.9564 
32 5 NP, 1167.3700 0.0000 MB, OutputData 95.84% 1.0000 0.0000 36.6400 2.5125 36.6280 2.5141 36.6560 2.5154 
64 5 NP, 2334.7300 0.0000 MB, OutputData 95.95% 1.0000 0.0000 45.7220 1.6531 45.7060 1.6531 45.7460 1.6519 
128 5 NP, 4669.4600 0.0000 MB, OutputData 97.17% 1.0000 0.0000 75.4680 2.1530 75.4400 2.1574 75.4800 2.1508 
256 4 NP, 9338.9200 0.0000 MB, OutputData 97.98% 1.0000 0.0000 148.4675 1.8915 148.4175 1.8920 148.4975 1.8976 
512 4 NP, 18677.8500 0.0000 MB, OutputData 98.76% 1.0000 0.0000 296.8375 2.6433 296.7950 2.6413 296.8750 2.6417 
