8 12 NP, 291.8400 0.0000 MB, OutputData 95.90% 1.0000 0.0000 3.6558 0.1624 3.6400 0.1544 3.6650 0.1646 
16 12 NP, 583.6800 0.0000 MB, OutputData 94.85% 1.0000 0.0000 24.0842 1.8401 24.0708 1.8343 24.0950 1.8453 
32 11 NP, 1167.3700 0.0000 MB, OutputData 95.75% 1.0000 0.0000 32.2273 3.0953 32.2127 3.0948 32.2418 3.0948 
64 10 NP, 2334.7300 0.0000 MB, OutputData 94.74% 1.0000 0.0000 38.1140 6.6124 38.0910 6.6285 38.1330 6.6109 
128 8 NP, 4669.4600 0.0000 MB, OutputData 95.82% 1.0000 0.0000 59.4387 2.9902 59.4275 2.9896 59.4537 2.9926 
256 7 NP, 9338.9200 0.0000 MB, OutputData 97.32% 1.0000 0.0000 123.2057 8.0891 123.1914 8.0908 123.2214 8.0908 
512 7 NP, 18677.8500 0.0000 MB, OutputData 98.35% 1.0000 0.0000 251.4871 17.0817 251.4643 17.0827 251.5100 17.0842 
