8 56 NP, 291.8400 0.0000 MB, OutputData 94.82% 1.0000 0.0000 2.5366 0.2004 2.4546 0.2128 2.5859 0.1987 
16 55 NP, 583.6800 0.0000 MB, OutputData 69.35% 1.0000 0.0000 2.8842 0.1689 2.7307 0.1518 3.0522 0.6865 
32 54 NP, 1167.3700 0.0000 MB, OutputData 77.08% 1.0000 0.0000 5.0074 0.6238 4.2519 0.6417 5.3422 0.6254 
64 53 NP, 2334.7300 0.0000 MB, OutputData 74.60% 1.0000 0.0000 8.9008 0.7079 6.9751 0.7371 9.7111 1.2169 
128 52 NP, 4669.4600 0.0000 MB, OutputData 83.15% 1.0000 0.0000 13.6140 0.7400 10.0169 0.9882 14.9069 0.8602 
256 52 NP, 9338.9200 0.0000 MB, OutputData 86.49% 1.0000 0.0000 22.4821 0.9251 14.7437 2.2697 24.1844 0.9934 
512 52 NP, 18677.8500 0.0000 MB, OutputData 89.08% 1.0000 0.0000 35.9127 0.8974 20.0817 3.1282 38.6352 2.1637 
