8 2 NP, TIMES 5.8997 0.9437 5.7932 4.2316 9.6799 0.7276 SIZES 486.2190 0.0000 41.1094 0.0000 49.1258 0.0000 
16 2 NP, TIMES 15.2617 8.0760 2.3824 0.9280 4.4851 0.3327 SIZES 972.2190 0.0000 81.2344 0.0000 98.0204 0.0000 
32 2 NP, TIMES 31.7914 4.9123 29.6812 2.6742 20.6520 10.3862 SIZES 1944.4700 0.0000 162.4840 0.0000 195.3100 0.0000 
64 2 NP, TIMES 35.6277 19.1964 45.6068 8.4023 50.5859 2.3596 SIZES 3888.9700 0.0000 324.7340 0.0000 389.6380 0.0000 
128 2 NP, TIMES 59.1069 35.8368 60.9170 9.2880 87.2425 1.6314 SIZES 7777.9700 0.0000 649.2340 0.0000 779.0440 0.0000 
256 2 NP, TIMES 137.4691 72.8748 81.3472 55.7803 29.5724 0.6059 SIZES 15555.5000 0.0000 1298.4800 0.0000 1557.3600 0.0000 
512 2 NP, TIMES 373.8393 122.6626 153.9666 107.5208 52.4759 0.5850 SIZES 31111.0000 0.0000 2596.9800 0.0000 3113.9800 0.0000 
1024 2 NP, TIMES 1150.1180 66.5695 71.4538 1.2395 82.7553 8.4770 SIZES 62221.5000 0.0000 5193.4800 0.0000 6227.4900 0.0000 
2048 1 NP, TIMES 3033.6351 0.0000 252.5063 0.0000 286.6958 0.0000 SIZES 124443.0000 0.0000 10387.2000 0.0000 12455.2000 0.0000 
